date,distributed_janssen,distributed_moderna,distributed_pfizer,distributed_novavax
2022-10-19T00:00:00.000,12800,73300,55880,1100
2022-10-19T00:00:00.000,329400,3879480,5341670,6500
2022-10-19T00:00:00.000,391400,4406300,6070175,9700
2022-10-19T00:00:00.000,49200,501740,614945,2000
2022-10-19T00:00:00.000,499900,5548840,9589975,17000
2022-10-19T00:00:00.000,101600,1127300,1724955,3600
2022-10-19T00:00:00.000,210700,2389740,4706570,28500
2022-10-19T00:00:00.000,260600,2804740,4350775,17700
2022-10-19T00:00:00.000,456000,5413200,8620045,16800
2022-10-19T00:00:00.000,799900,8436500,14802485,21800
2022-10-19T00:00:00.000,859100,9950200,15188655,30700
2022-10-19T00:00:00.000,509700,5581520,10072940,10400
2022-10-19T00:00:00.000,3772000,38893780,66143205,111600
2022-10-19T00:00:00.000,464000,5255840,7009835,41800
2022-10-19T00:00:00.000,90600,1219800,1850025,3500
2022-10-19T00:00:00.000,617100,6693620,10555900,12400
2022-10-19T00:00:00.000,401700,4901560,6062180,18800
2022-10-19T00:00:00.000,190100,2129500,3160545,5000
2022-10-19T00:00:00.000,438600,5316160,8336845,12100
2022-10-19T00:00:00.000,170500,1997720,2798825,7100
2022-10-19T00:00:00.000,3100,45140,116120,200
2022-10-19T00:00:00.000,3800,30400,14290,0
2022-10-19T00:00:00.000,93200,902600,1365265,2600
2022-10-19T00:00:00.000,151900,1678080,3062960,4400
2022-10-19T00:00:00.000,255500,2473860,4819590,5500
2022-10-19T00:00:00.000,12800,121940,114560,0
2022-10-19T00:00:00.000,2658600,26118540,44420185,81800
2022-10-19T00:00:00.000,962300,10348320,15061590,20700
2022-10-19T00:00:00.000,16200,170820,202110,0
2022-10-19T00:00:00.000,85900,731420,1112645,3900
2022-10-19T00:00:00.000,465600,4565960,7483425,15900
2022-10-19T00:00:00.000,73600,854420,1333170,1800
2022-10-19T00:00:00.000,292600,3132920,4862335,12900
2022-10-19T00:00:00.000,1180500,11755640,21153135,21100
2022-10-19T00:00:00.000,950400,10110880,16046040,32600
2022-10-19T00:00:00.000,626900,4500680,4021140,7600
2022-10-19T00:00:00.000,1560400,14347020,21979665,38900
2022-10-19T00:00:00.000,614600,6730660,12581710,22400
2022-10-19T00:00:00.000,124800,1613120,2481660,3000
2022-10-19T00:00:00.000,157900,1670620,2529830,5600
2022-10-19T00:00:00.000,352300,4169480,6225445,7000
2022-10-19T00:00:00.000,72700,845480,1508825,2100
2022-10-19T00:00:00.000,106300,978600,1348595,5700
2022-10-19T00:00:00.000,626500,5750100,10251580,6200
2022-10-19T00:00:00.000,216200,2897820,5151830,1500
2022-10-19T00:00:00.000,600,25500,100110,0
2022-10-19T00:00:00.000,628800,7960680,12341990,8700
2022-10-12T00:00:00.000,124800,1582320,2443860,3000
2022-10-12T00:00:00.000,626900,4449880,3983940,7600
2022-10-12T00:00:00.000,499900,5473240,9358675,16300
2022-10-12T00:00:00.000,72700,826580,1493125,2000
2022-10-12T00:00:00.000,3771200,38564180,65212705,111100
2022-10-12T00:00:00.000,1559400,14221520,21656265,37500
2022-10-12T00:00:00.000,438500,5268660,8212545,11800
